,fid,long,lat,iso3,SSP1,SSP3,SSP5
28,10282,61.5,22.5,FIN10282.0,-1.784982425767766,-1.784982425767766,-1.784982425767766
29,10283,61.5,23.5,FIN10283.0,,,
30,10284,61.5,24.5,FIN10284.0,,,
31,10285,61.5,25.5,FIN10285.0,0.45998312295441474,0.45998312295441474,0.45998312295441474
32,10286,61.5,26.5,FIN10286.0,,,
33,10287,61.5,27.5,FIN10287.0,0.0,0.0,0.0
34,10288,61.5,28.5,FIN10288.0,0.0,0.0,0.0
35,10289,61.5,29.5,FIN10289.0,,,
36,10290,61.5,30.5,FIN10290.0,,,
37,10641,60.5,21.5,FIN10641.0,0.0,0.0,0.0
38,10642,60.5,22.5,FIN10642.0,0.0,0.0,0.0
39,10643,60.5,23.5,FIN10643.0,0.0,0.0,0.0
40,10644,60.5,24.5,FIN10644.0,0.0,0.0,0.0
41,10645,60.5,25.5,FIN10645.0,0.0,0.0,0.0
42,10646,60.5,26.5,FIN10646.0,0.0,0.0,0.0
43,10647,60.5,27.5,FIN10647.0,-1.9075114763771934,-2.9325682746343538,-18.26475388746445
44,10648,60.5,28.5,FIN10648.0,,,
45,11003,59.5,23.5,FIN11003.0,-0.005143277661328547,0.0,-9.153598903883791
46,11004,59.5,24.5,FIN11004.0,-0.6028561119979035,-0.2261819438647545,-6.409870664637136
47,9582,63.5,42.5,RUS9582.0,1.1710305374149084,0.8041939102679146,-3.0768927056216056
48,9932,62.5,32.5,RUS9932.0,-10.111964833566818,-9.666415586650587,-21.312126849463212
49,9933,62.5,33.5,RUS9933.0,-6.654324077671432,-6.400423503585062,-16.746571931896742
50,9935,62.5,35.5,RUS9935.0,-2.6834651202081865,-2.59204874955643,-9.40889096168641
51,9936,62.5,36.5,RUS9936.0,-3.8898994306060053,-3.678916006390503,-9.866292997535071
52,9938,62.5,38.5,RUS9938.0,-0.8678748380170452,-0.746156953606058,-11.056823319378958
53,9939,62.5,39.5,RUS9939.0,-0.06835262252302204,-0.06628632808869393,-1.0165810988975006
54,9940,62.5,40.5,RUS9940.0,-2.7869045196708924,-2.1931564044702974,-7.773271947122852
55,9941,62.5,41.5,RUS9941.0,-0.341753164927161,-0.32688379287719727,-1.6046245892842648
56,9942,62.5,42.5,RUS9942.0,0.0,0.0,-0.026413051043362754
57,9943,62.5,43.5,RUS9943.0,0.0,0.0,0.0
58,9944,62.5,44.5,RUS9944.0,0.0,0.0,0.0
59,9945,62.5,45.5,RUS9945.0,0.0,0.0,0.0
60,9950,62.5,50.5,RUS9950.0,0.0,0.0,0.0
61,10291,61.5,31.5,RUS10291.0,5.641517635942259,5.641517635942259,5.641517635942259
62,10292,61.5,32.5,RUS10292.0,0.0,0.0,0.0
63,10293,61.5,33.5,RUS10293.0,,,
64,10294,61.5,34.5,RUS10294.0,0.0,0.0,0.0
65,10295,61.5,35.5,RUS10295.0,0.0,0.0,0.0
66,10296,61.5,36.5,RUS10296.0,0.0,0.0,0.0
67,10297,61.5,37.5,RUS10297.0,0.0,0.0,0.0
68,10298,61.5,38.5,RUS10298.0,0.0,0.0,0.0
69,10299,61.5,39.5,RUS10299.0,0.0,0.0,0.0
70,10300,61.5,40.5,RUS10300.0,0.0,0.0,0.0
71,10301,61.5,41.5,RUS10301.0,-0.10891159375508996,-0.10891159375508996,-0.10891159375508996
72,10302,61.5,42.5,RUS10302.0,-0.0060341694131633644,-0.0060341694131633644,-0.0060341694131633644
73,10303,61.5,43.5,RUS10303.0,0.0,0.0,0.0
74,10304,61.5,44.5,RUS10304.0,0.0,0.0,0.0
75,10305,61.5,45.5,RUS10305.0,0.0,0.0,0.0
76,10306,61.5,46.5,RUS10306.0,0.0,0.0,0.0
77,10307,61.5,47.5,RUS10307.0,0.0,0.0,0.0
78,10308,61.5,48.5,RUS10308.0,,,
79,10309,61.5,49.5,RUS10309.0,0.0,0.0,0.0
80,10310,61.5,50.5,RUS10310.0,0.0,0.0,0.0
81,10311,61.5,51.5,RUS10311.0,,,
82,10312,61.5,52.5,RUS10312.0,0.0,0.0,0.0
83,10313,61.5,53.5,RUS10313.0,0.0,0.0,0.0
84,10314,61.5,54.5,RUS10314.0,-1.220852604755142,0.8090769914679252,-6.963727622116892
85,10325,61.5,65.5,RUS10325.0,-0.9622685734933291,0.43030678784340204,-7.459758732023378
86,10649,60.5,29.5,RUS10649.0,-0.1587072718226333,-0.42071813759490306,-2.448771121050927
87,10650,60.5,30.5,RUS10650.0,-3.0787646672200464,-3.09505338721592,-8.708601882682704
88,10651,60.5,31.5,RUS10651.0,-9.140666288719373,-8.337615390569447,-21.878468608984033
89,10652,60.5,32.5,RUS10652.0,,,
90,10653,60.5,33.5,RUS10653.0,,,
91,10654,60.5,34.5,RUS10654.0,,,
92,10655,60.5,35.5,RUS10655.0,-0.06302570592257233,-0.037910950355173396,-2.30512167746342
93,10656,60.5,36.5,RUS10656.0,-7.07013453647779,-6.129157061869856,-18.761776958557626
94,10657,60.5,37.5,RUS10657.0,-16.59573238353616,-14.228497157695436,-31.37095844510937
95,10658,60.5,38.5,RUS10658.0,0.7468314547358055,0.7191733832034068,-3.0945373720639386
96,10659,60.5,39.5,RUS10659.0,-4.186184664083872,-3.732062771580655,-15.185843516082095
97,10660,60.5,40.5,RUS10660.0,-6.777777046980749,-6.460307278611483,-17.868065250635876
98,10661,60.5,41.5,RUS10661.0,-19.14033810427617,-18.602433587662045,-24.00363607287296
99,10662,60.5,42.5,RUS10662.0,-0.438822415022391,-0.28504469677963745,-3.7736758638748036
100,10663,60.5,43.5,RUS10663.0,-6.047112264290076,-5.696899108741196,-13.048167340797843
101,10664,60.5,44.5,RUS10664.0,-1.9597444539090216,-1.4858751952722364,-10.99305685256219
