,fid,long,lat,iso3,2015
394,12470,55.5,50.5,RUS12470.0,22.04146683216095
395,12471,55.5,51.5,RUS12471.0,24.779215455055237
396,12472,55.5,52.5,RUS12472.0,37.05848654111226
397,12473,55.5,53.5,RUS12473.0,33.33333333333333
398,12474,55.5,54.5,RUS12474.0,33.33333333333333
399,12475,55.5,55.5,RUS12475.0,94.9278473854065
400,12476,55.5,56.5,RUS12476.0,12.202656517426174
401,12477,55.5,57.5,RUS12477.0,15.045579771200815
402,12478,55.5,58.5,RUS12478.0,5.730534096558889
403,12479,55.5,59.5,RUS12479.0,20.869491000970207
404,12480,55.5,60.5,RUS12480.0,32.44157234827678
405,12481,55.5,61.5,RUS12481.0,24.25695757071177
406,12482,55.5,62.5,RUS12482.0,26.29247158765793
407,12483,55.5,63.5,RUS12483.0,25.272642076015472
408,12484,55.5,64.5,RUS12484.0,41.15131894747417
409,12485,55.5,65.5,RUS12485.0,32.662010192871094
410,12486,55.5,66.5,RUS12486.0,57.91078408559164
411,12487,55.5,67.5,RUS12487.0,65.88939428329468
412,12488,55.5,68.5,RUS12488.0,69.7030464808146
413,12489,55.5,69.5,RUS12489.0,44.685913125673935
414,12490,55.5,70.5,RUS12490.0,41.95874234040578
415,12491,55.5,71.5,RUS12491.0,81.9095273812612
416,12492,55.5,72.5,RUS12492.0,90.22798339525858
417,12493,55.5,73.5,RUS12493.0,90.74333906173706
418,12494,55.5,74.5,RUS12494.0,97.92030056317648
419,12495,55.5,75.5,RUS12495.0,81.39723340670267
420,12496,55.5,76.5,RUS12496.0,84.23827091852823
421,12497,55.5,77.5,RUS12497.0,100.00000794728597
422,12498,55.5,78.5,RUS12498.0,98.13270568847656
423,12499,55.5,79.5,RUS12499.0,98.80996346473694
424,12500,55.5,80.5,RUS12500.0,97.25853204727173
425,12501,55.5,81.5,RUS12501.0,84.43691929181418
426,12502,55.5,82.5,RUS12502.0,91.608198483785
427,12503,55.5,83.5,RUS12503.0,70.63673933347067
428,12504,55.5,84.5,RUS12504.0,46.797310312589005
429,12505,55.5,85.5,RUS12505.0,9.712006400028866
430,12506,55.5,86.5,RUS12506.0,10.501064856847126
431,12507,55.5,87.5,RUS12507.0,42.532703280448914
432,12508,55.5,88.5,RUS12508.0,48.76471161842346
433,12509,55.5,89.5,RUS12509.0,25.803087651729584
434,12510,55.5,90.5,RUS12510.0,43.38514109452565
435,12511,55.5,91.5,RUS12511.0,33.84377956390381
436,12512,55.5,92.5,RUS12512.0,9.16082536180814
437,12513,55.5,93.5,RUS12513.0,11.703322331110638
438,12514,55.5,94.5,RUS12514.0,10.30769944190979
439,12515,55.5,95.5,RUS12515.0,4.89231658478578
440,12516,55.5,96.5,RUS12516.0,11.007971564928692
441,12518,55.5,98.5,RUS12518.0,8.46936081846555
