,lat1,long1,lat2,long2,lat3,long3,lat4,long4,lat5,long5,NCP_cur,pop,PN,country,PNpop_c_norm
436,96.0,59.0,95.0,59.0,95.0,60.0,96.0,60.0,96.0,59.0,83.15389177499006,3639.0,2840914.5,Russia,0.006175628646754419
437,97.0,59.0,96.0,59.0,96.0,60.0,97.0,60.0,97.0,59.0,84.33638685912256,2779.0,1538508.375,Russia,0.0033782962903819635
438,98.0,59.0,97.0,59.0,97.0,60.0,98.0,60.0,98.0,59.0,84.0842319010435,3998.0,1868598.75,Russia,0.004129190198338259
439,99.0,59.0,98.0,59.0,98.0,60.0,99.0,60.0,99.0,59.0,82.76634623253362,4467.0,2054439.375,Russia,0.00454286147530416
440,100.0,59.0,99.0,59.0,99.0,60.0,100.0,60.0,100.0,59.0,85.18517429098661,6023.0,2687890.0,Russia,0.005951026534208613
441,101.0,59.0,100.0,59.0,100.0,60.0,101.0,60.0,101.0,59.0,84.52905247209279,3508.0,2047364.5,Russia,0.004487697944180248
442,102.0,59.0,101.0,59.0,101.0,60.0,102.0,60.0,102.0,59.0,81.37575469250893,3036.0,1825329.5,Russia,0.0039971695433794275
443,103.0,59.0,102.0,59.0,102.0,60.0,103.0,60.0,103.0,59.0,82.97785253780332,1555.0,1332968.75,Russia,0.0028912683603947767
444,104.0,59.0,103.0,59.0,103.0,60.0,104.0,60.0,104.0,59.0,85.83489933542786,242.0,536397.75,Russia,0.0011474209607254386
449,109.0,59.0,108.0,59.0,108.0,60.0,109.0,60.0,109.0,59.0,87.92548198237068,0.0,358529.0625,Russia,0.0007601367145063799
450,110.0,59.0,109.0,59.0,109.0,60.0,110.0,60.0,110.0,59.0,82.02693699831084,2101.0,1978347.75,Russia,0.0042824158451592
451,111.0,59.0,110.0,59.0,110.0,60.0,111.0,60.0,111.0,59.0,82.78586939848547,3037.0,2482180.25,Russia,0.00538981109957634
452,112.0,59.0,111.0,59.0,111.0,60.0,112.0,60.0,112.0,59.0,86.63840526102396,2837.0,2664956.5,Russia,0.005768951974574672
